Index,Comentario,Fecha;;;;,clasificacion,valoracion
1,Vale la pena,26 de agosto de 2024;;;;,<general>,Positivo
2,"Es un parque muy bonito para tener contacto con la naturaleza( si te gustan los animales puede que algunas cosas te choquen ya que a veces es como zoologico y hasta en el show final participan algunos). Hay actividades que si puedes disfrutar con la entrada general, a pesar de que es casi imposible hacer todo ya que es super grande y se camina muchisimo, el almuerzo buffet me parecio bueno y la atencion del personal dentro de el parque es 50/50, gente amable y otros no. Un aspecto a destacar es que hay maquinas para recargar agua fresca en muchos puntos del parque y eso se agradece, no te limita a tener que comprar agua  durante el dia con tremendo calor.Hay aspectos para mejorar en la senalizacion del lugar, ya que la app no es muy util.El show nocturno dura 2 horas, es  lindo, con bastante produccion pero  larguisimo y tedioso, llegas esperar el show y ya estas cansadisimo de caminar todo el dia, vi muchas personas a mi alrededor durmiendo y para que decir los ninos,  pienso que podrian hacer un espectutaculo precioso en menos tiempo y seria genial, yo fui con mucha expectativa y termine yendome antes porque realmente estaba aburrida. Sin exagerar el show que mostraron en el hotel donde me hospede fue mucho mejor que el de Xcaret.Con lo bueno y lo malo, considero que es un lugar que hay que visitar por lo menos una vez.",26 de agosto de 2024;;;;,"general, naturaleza/atracciones, animales, buffet, trato personal, show, no clasificable","Positivo, Positivo, Neutro, Positivo, Neutro, Negativo, Neutro"
3,Hermoso,26 de agosto de 2024;;;;,<general>,Positivo
4,"Lugar muy lindo, bien cuidado, buffet rico y variado  sin duda volveria a ir, hay muchos lugares para recorrer en solo una visita.",23 de agosto de 2024;;;;,"general, naturaleza/atracciones, buffet","Positivo, Positivo, Positivo"
5,Defraudado totalmente,20 de agosto de 2024;;;;,<no clasificable>,Negativo
6,"Defrauda totalmente, es un atraco sin arma,  desde que llegas hasta que te vas,  el precio es desorbitado, aun pagando la entrada mas cara 175. De 15 atracciones acuaticas , son gratuitas 2, el rest vas a tener que pagarlas. Necesitas hacer un curso intensivo, pero muy intensivo si quieres pasar un dia medio divertido, desde que tienes que llevar todo tipo de prendas, calzado, etc, hasta que no se te olvide la tarjeta,  vas a pagar por todo, nuestra experiencia fue, NEFASTA,  a las 16h cogimos un bis y nos fuimos. Es el peor Parque al que he ido, pero con mucha diferencia,  porque no te cuentan lo que te vas a encontrar cuando llegues,",19 de agosto de 2024;;;;,"general, precio, no clasificable","Negativo, Negativo, Negativo"
7,Excelente,13 de agosto de 2024;;;;,<general>,Positivo
8,"Excelente experiencia, recomendado, vale cada centavo que pagas para poder entrar al parque, la comida muy buena y la atencion",12 de agosto de 2024;;;;,"<general>, <buffet>, <trato personal>, <precio>","Positivo, Positivo, Positivo, Positivo"
9,Pagina web desactualizada,11 de agosto de 2024;;;;,<no clasificable>,Negativo
10,"Un lugar hermoso y los espectaculos geniales, me gusto mucho, sin embargo, la pagina de internet tiene inconsistencias en la informacion de los eventos, por ejemplo, el baile prehispanico era en la zona blanca y en la pagina decia que en la azul, cuando llegamos ya se estaba terminando, los voladores de Papantla dice que no se estaba haciendo, sin embargo si lo estan presentando pero en otro horario. Hace falta mejor senalizacion, la app nunca nos descargo, preguntamos por un mapa y nos dijeron que no daban, luego vimos personas con mapas,",8 de agosto de 2024;;;;,"general, show, no clasificable","Positivo, Positivo, Negativo"
